Activity,Description
checkin,Check-in with TAs 
groupcomp,Lunch and group compacts 
coffee,Coffee break
lunch,Lunch 
talkintro,Welcome to qBio7 - Novembre and Cobey
talkprince,Welcome to UChicago Biosciences - Prince
talkstar,Science Faculty Star - Doroin
pdafternoon,Professional Development with TAs
wrapup,Wrap-up  
Computing1a,Basic comp. I / Advanced comp. I
Computing1b,Basic comp. I / Advanced comp. I 
Computing2a,Basic comp. II / Advanced comp. II 
Computing2b,Basic comp. II / Advanced comp. II 
w1,Workshop - Immunology - Khan 
w2,Workshop - Population genetics - Berg
w3,Workshop - Transcriptomics - M. Chen
t1,Defensive programming - Cobey
t2,Data visualization - Carbonetto
t3,Statistics for a data rich world - L. Chen
team,Team-building activities 
reception,Dinner reception